Date,vertical,language,tickets
2026-01-16,Partners,Portuguese,60
2026-01-16,Partners,Spanish,419
2026-01-16,Payments,English,238
2026-01-16,Payments,French,27
2026-01-16,Payments,German,32
2026-01-16,Payments,Italian,25
2026-01-16,Payments,Portuguese,6
2026-01-16,Payments,Spanish,42
2026-01-17,Hospitality,English,415
2026-01-17,Hospitality,French,48
2026-01-17,Hospitality,German,56
2026-01-17,Hospitality,Italian,43
2026-01-17,Hospitality,Portuguese,10
2026-01-17,Hospitality,Spanish,73
2026-01-17,Partners,English,490
2026-01-17,Partners,French,56
2026-01-17,Partners,German,66
2026-01-17,Partners,Italian,51
2026-01-17,Partners,Portuguese,12
2026-01-17,Partners,Spanish,87
2026-01-17,Payments,English,80
2026-01-17,Payments,French,9
2026-01-17,Payments,German,11
2026-01-17,Payments,Italian,8
2026-01-17,Payments,Portuguese,2
2026-01-17,Payments,Spanish,14
2026-01-18,Hospitality,English,367
2026-01-18,Hospitality,French,42
2026-01-18,Hospitality,German,49
2026-01-18,Hospitality,Italian,38
2026-01-18,Hospitality,Portuguese,9
2026-01-18,Hospitality,Spanish,65
2026-01-18,Partners,English,156
2026-01-18,Partners,French,18
2026-01-18,Partners,German,21
2026-01-18,Partners,Italian,16
2026-01-18,Partners,Portuguese,4
2026-01-18,Partners,Spanish,28
2026-01-18,Payments,English,55
2026-01-18,Payments,French,6
2026-01-18,Payments,German,7
2026-01-18,Payments,Italian,6
2026-01-18,Payments,Portuguese,1
2026-01-18,Payments,Spanish,10
2026-01-19,Hospitality,English,1749
2026-01-19,Hospitality,French,201
2026-01-19,Hospitality,German,234
2026-01-19,Hospitality,Italian,181
2026-01-19,Hospitality,Portuguese,44
2026-01-19,Hospitality,Spanish,308
2026-01-19,Partners,English,2965
2026-01-19,Partners,French,341
2026-01-19,Partners,German,396
2026-01-19,Partners,Italian,307
2026-01-19,Partners,Portuguese,75
2026-01-19,Partners,Spanish,523
2026-01-19,Payments,English,265
2026-01-19,Payments,French,31
2026-01-19,Payments,German,35
2026-01-19,Payments,Italian,27
2026-01-19,Payments,Portuguese,7
2026-01-19,Payments,Spanish,47
2026-01-20,Hospitality,English,1800
2026-01-20,Hospitality,French,207
2026-01-20,Hospitality,German,241
2026-01-20,Hospitality,Italian,187
2026-01-20,Hospitality,Portuguese,45
2026-01-20,Hospitality,Spanish,317
2026-01-20,Partners,English,2818
2026-01-20,Partners,French,325
2026-01-20,Partners,German,377
2026-01-20,Partners,Italian,292
2026-01-20,Partners,Portuguese,71
2026-01-20,Partners,Spanish,497
2026-01-20,Payments,English,288
2026-01-20,Payments,French,33
2026-01-20,Payments,German,39
2026-01-20,Payments,Italian,30
2026-01-20,Payments,Portuguese,7
2026-01-20,Payments,Spanish,51
2026-01-21,Hospitality,English,1841
2026-01-21,Hospitality,French,212
2026-01-21,Hospitality,German,246
2026-01-21,Hospitality,Italian,191
2026-01-21,Hospitality,Portuguese,46
2026-01-21,Hospitality,Spanish,325
2026-01-21,Partners,English,2753
2026-01-21,Partners,French,317
2026-01-21,Partners,German,368
2026-01-21,Partners,Italian,285
2026-01-21,Partners,Portuguese,69
2026-01-21,Partners,Spanish,486
2026-01-21,Payments,English,309
2026-01-21,Payments,French,36
2026-01-21,Payments,German,41
2026-01-21,Payments,Italian,32
2026-01-21,Payments,Portuguese,8
2026-01-21,Payments,Spanish,55
2026-01-22,Hospitality,English,1783
2026-01-22,Hospitality,French,205
2026-01-22,Hospitality,German,238
2026-01-22,Hospitality,Italian,185
2026-01-22,Hospitality,Portuguese,45
2026-01-22,Hospitality,Spanish,314
2026-01-22,Partners,English,2754
2026-01-22,Partners,French,317
2026-01-22,Partners,German,368
2026-01-22,Partners,Italian,285
2026-01-22,Partners,Portuguese,69
2026-01-22,Partners,Spanish,486
2026-01-22,Payments,English,306
2026-01-22,Payments,French,35
2026-01-22,Payments,German,41
2026-01-22,Payments,Italian,32
2026-01-22,Payments,Portuguese,8
2026-01-22,Payments,Spanish,54
2026-01-23,Hospitality,English,1550
2026-01-23,Hospitality,French,178
2026-01-23,Hospitality,German,207
2026-01-23,Hospitality,Italian,161
2026-01-23,Hospitality,Portuguese,39
2026-01-23,Hospitality,Spanish,273
2026-01-23,Partners,English,2635
2026-01-23,Partners,French,303
2026-01-23,Partners,German,352
2026-01-23,Partners,Italian,273
2026-01-23,Partners,Portuguese,66
2026-01-23,Partners,Spanish,465
2026-01-23,Payments,English,286
2026-01-23,Payments,French,33
2026-01-23,Payments,German,38
2026-01-23,Payments,Italian,30
2026-01-23,Payments,Portuguese,7
2026-01-23,Payments,Spanish,50
2026-01-24,Hospitality,English,414
2026-01-24,Hospitality,French,48
2026-01-24,Hospitality,German,55
2026-01-24,Hospitality,Italian,43
2026-01-24,Hospitality,Portuguese,11
2026-01-24,Hospitality,Spanish,73
2026-01-24,Partners,English,540
2026-01-24,Partners,French,62
2026-01-24,Partners,German,72
2026-01-24,Partners,Italian,56
2026-01-24,Partners,Portuguese,14
2026-01-24,Partners,Spanish,95
2026-01-24,Payments,English,95
2026-01-24,Payments,French,11
2026-01-24,Payments,German,13
2026-01-24,Payments,Italian,10
2026-01-24,Payments,Portuguese,2
2026-01-24,Payments,Spanish,17
2026-01-25,Hospitality,English,364
2026-01-25,Hospitality,French,42
2026-01-25,Hospitality,German,49
2026-01-25,Hospitality,Italian,38
2026-01-25,Hospitality,Portuguese,9
2026-01-25,Hospitality,Spanish,64
2026-01-25,Partners,English,172
2026-01-25,Partners,French,20
2026-01-25,Partners,German,23
2026-01-25,Partners,Italian,18
2026-01-25,Partners,Portuguese,4
2026-01-25,Partners,Spanish,30
2026-01-25,Payments,English,65
2026-01-25,Payments,French,7
2026-01-25,Payments,German,9
2026-01-25,Payments,Italian,7
2026-01-25,Payments,Portuguese,2
2026-01-25,Payments,Spanish,11
2026-01-26,Hospitality,English,1737
2026-01-26,Hospitality,French,200
2026-01-26,Hospitality,German,232
2026-01-26,Hospitality,Italian,180
2026-01-26,Hospitality,Portuguese,44
2026-01-26,Hospitality,Spanish,306
2026-01-26,Partners,English,3246
2026-01-26,Partners,French,374
2026-01-26,Partners,German,434
2026-01-26,Partners,Italian,336
2026-01-26,Partners,Portuguese,82
2026-01-26,Partners,Spanish,573
2026-01-26,Payments,English,309
2026-01-26,Payments,French,36
2026-01-26,Payments,German,41
2026-01-26,Payments,Italian,32
2026-01-26,Payments,Portuguese,8
2026-01-26,Payments,Spanish,55
2026-01-27,Hospitality,English,1790
2026-01-27,Hospitality,French,206
2026-01-27,Hospitality,German,239
2026-01-27,Hospitality,Italian,185
2026-01-27,Hospitality,Portuguese,45
2026-01-27,Hospitality,Spanish,316
2026-01-27,Partners,English,3080
2026-01-27,Partners,French,355
2026-01-27,Partners,German,412
2026-01-27,Partners,Italian,319
2026-01-27,Partners,Portuguese,77
2026-01-27,Partners,Spanish,543
2026-01-27,Payments,English,332
2026-01-27,Payments,French,38
2026-01-27,Payments,German,44
2026-01-27,Payments,Italian,35
2026-01-27,Payments,Portuguese,8
2026-01-27,Payments,Spanish,59
2026-01-28,Hospitality,English,1836
2026-01-28,Hospitality,French,212
2026-01-28,Hospitality,German,245
2026-01-28,Hospitality,Italian,190
2026-01-28,Hospitality,Portuguese,46
2026-01-28,Hospitality,Spanish,324
2026-01-28,Partners,English,3001
2026-01-28,Partners,French,346
2026-01-28,Partners,German,401
2026-01-28,Partners,Italian,311
2026-01-28,Partners,Portuguese,76
2026-01-28,Partners,Spanish,529
2026-01-28,Payments,English,351
2026-01-28,Payments,French,40
2026-01-28,Payments,German,47
2026-01-28,Payments,Italian,36
2026-01-28,Payments,Portuguese,9
2026-01-28,Payments,Spanish,62
2026-01-29,Hospitality,English,1785
2026-01-29,Hospitality,French,205
2026-01-29,Hospitality,German,239
2026-01-29,Hospitality,Italian,185
2026-01-29,Hospitality,Portuguese,45
2026-01-29,Hospitality,Spanish,315
2026-01-29,Partners,English,2992
2026-01-29,Partners,French,345
2026-01-29,Partners,German,400
2026-01-29,Partners,Italian,310
2026-01-29,Partners,Portuguese,75
2026-01-29,Partners,Spanish,528
2026-01-29,Payments,English,341
2026-01-29,Payments,French,39
2026-01-29,Payments,German,46
2026-01-29,Payments,Italian,35
2026-01-29,Payments,Portuguese,9
2026-01-29,Payments,Spanish,60
2026-01-30,Hospitality,English,1560
2026-01-30,Hospitality,French,180
2026-01-30,Hospitality,German,209
2026-01-30,Hospitality,Italian,162
2026-01-30,Hospitality,Portuguese,39
2026-01-30,Hospitality,Spanish,275
2026-01-30,Partners,English,2852
2026-01-30,Partners,French,328
2026-01-30,Partners,German,381
2026-01-30,Partners,Italian,296
2026-01-30,Partners,Portuguese,72
2026-01-30,Partners,Spanish,503
2026-01-30,Payments,English,313
2026-01-30,Payments,French,36
2026-01-30,Payments,German,42
2026-01-30,Payments,Italian,32
2026-01-30,Payments,Portuguese,8
2026-01-30,Payments,Spanish,55
2026-01-31,Hospitality,English,389
2026-01-31,Hospitality,French,45
2026-01-31,Hospitality,German,52
2026-01-31,Hospitality,Italian,40
2026-01-31,Hospitality,Portuguese,10
2026-01-31,Hospitality,Spanish,69
2026-01-31,Partners,English,696
2026-01-31,Partners,French,80
2026-01-31,Partners,German,93
2026-01-31,Partners,Italian,72
2026-01-31,Partners,Portuguese,17
2026-01-31,Partners,Spanish,123
2026-01-31,Payments,English,121
2026-01-31,Payments,French,14
2026-01-31,Payments,German,16
2026-01-31,Payments,Italian,13
2026-01-31,Payments,Portuguese,3
2026-01-31,Payments,Spanish,21
2026-02-01,Hospitality,English,400
2026-02-01,Hospitality,French,46
2026-02-01,Hospitality,German,54
2026-02-01,Hospitality,Italian,41
2026-02-01,Hospitality,Portuguese,10
2026-02-01,Hospitality,Spanish,71
2026-02-01,Partners,English,146
2026-02-01,Partners,French,17
2026-02-01,Partners,German,19
2026-02-01,Partners,Italian,15
2026-02-01,Partners,Portuguese,4
2026-02-01,Partners,Spanish,26
2026-02-01,Payments,English,60
2026-02-01,Payments,French,7
2026-02-01,Payments,German,8
2026-02-01,Payments,Italian,6
2026-02-01,Payments,Portuguese,2
2026-02-01,Payments,Spanish,11
2026-02-02,Hospitality,English,1783
2026-02-02,Hospitality,French,205
2026-02-02,Hospitality,German,238
2026-02-02,Hospitality,Italian,185
2026-02-02,Hospitality,Portuguese,45
2026-02-02,Hospitality,Spanish,315
2026-02-02,Partners,English,3443
2026-02-02,Partners,French,396
2026-02-02,Partners,German,460
2026-02-02,Partners,Italian,357
2026-02-02,Partners,Portuguese,87
2026-02-02,Partners,Spanish,607
2026-02-02,Payments,English,320
2026-02-02,Payments,French,37
2026-02-02,Payments,German,43
2026-02-02,Payments,Italian,33
2026-02-02,Payments,Portuguese,8
2026-02-02,Payments,Spanish,56
2026-02-03,Hospitality,English,1850
2026-02-03,Hospitality,French,213
2026-02-03,Hospitality,German,247
2026-02-03,Hospitality,Italian,192
2026-02-03,Hospitality,Portuguese,47
2026-02-03,Hospitality,Spanish,326
2026-02-03,Partners,English,3232
2026-02-03,Partners,French,372
2026-02-03,Partners,German,432
2026-02-03,Partners,Italian,335
2026-02-03,Partners,Portuguese,81
2026-02-03,Partners,Spanish,570
2026-02-03,Payments,English,337
2026-02-03,Payments,French,39
2026-02-03,Payments,German,45
2026-02-03,Payments,Italian,35
2026-02-03,Payments,Portuguese,9
2026-02-03,Payments,Spanish,59
2026-02-04,Hospitality,English,1909
2026-02-04,Hospitality,French,220
2026-02-04,Hospitality,German,255
2026-02-04,Hospitality,Italian,198
2026-02-04,Hospitality,Portuguese,48
2026-02-04,Hospitality,Spanish,337
2026-02-04,Partners,English,3110
2026-02-04,Partners,French,358
2026-02-04,Partners,German,416
2026-02-04,Partners,Italian,322
2026-02-04,Partners,Portuguese,78
2026-02-04,Partners,Spanish,549
2026-02-04,Payments,English,350
2026-02-04,Payments,French,40
2026-02-04,Payments,German,47
2026-02-04,Payments,Italian,36
2026-02-04,Payments,Portuguese,9
2026-02-04,Payments,Spanish,62
2026-02-05,Hospitality,English,1866
2026-02-05,Hospitality,French,215
2026-02-05,Hospitality,German,249
2026-02-05,Hospitality,Italian,194
2026-02-05,Hospitality,Portuguese,47
2026-02-05,Hospitality,Spanish,329
2026-02-05,Partners,English,3057
2026-02-05,Partners,French,352
2026-02-05,Partners,German,409
2026-02-05,Partners,Italian,317
2026-02-05,Partners,Portuguese,77
2026-02-05,Partners,Spanish,539
2026-02-05,Payments,English,335
2026-02-05,Payments,French,39
2026-02-05,Payments,German,45
2026-02-05,Payments,Italian,35
2026-02-05,Payments,Portuguese,8
2026-02-05,Payments,Spanish,59
2026-02-06,Hospitality,English,1639
2026-02-06,Hospitality,French,189
2026-02-06,Hospitality,German,219
2026-02-06,Hospitality,Italian,170
2026-02-06,Hospitality,Portuguese,41
2026-02-06,Hospitality,Spanish,289
2026-02-06,Partners,English,2868
2026-02-06,Partners,French,330
2026-02-06,Partners,German,384
2026-02-06,Partners,Italian,297
2026-02-06,Partners,Portuguese,72
2026-02-06,Partners,Spanish,506
2026-02-06,Payments,English,303
2026-02-06,Payments,French,35
2026-02-06,Payments,German,41
2026-02-06,Payments,Italian,31
2026-02-06,Payments,Portuguese,8
2026-02-06,Payments,Spanish,53
2026-02-07,Hospitality,English,443
2026-02-07,Hospitality,French,51
2026-02-07,Hospitality,German,59
2026-02-07,Hospitality,Italian,46
2026-02-07,Hospitality,Portuguese,11
2026-02-07,Hospitality,Spanish,78
2026-02-07,Partners,English,575
2026-02-07,Partners,French,66
2026-02-07,Partners,German,77
2026-02-07,Partners,Italian,60
2026-02-07,Partners,Portuguese,15
2026-02-07,Partners,Spanish,101
2026-02-07,Payments,English,98
2026-02-07,Payments,French,11
2026-02-07,Payments,German,13
2026-02-07,Payments,Italian,10
2026-02-07,Payments,Portuguese,3
2026-02-07,Payments,Spanish,17
2026-02-08,Hospitality,English,393
2026-02-08,Hospitality,French,45
2026-02-08,Hospitality,German,52
2026-02-08,Hospitality,Italian,41
2026-02-08,Hospitality,Portuguese,10
2026-02-08,Hospitality,Spanish,69
2026-02-08,Partners,English,178
2026-02-08,Partners,French,21
2026-02-08,Partners,German,24
2026-02-08,Partners,Italian,18
2026-02-08,Partners,Portuguese,5
2026-02-08,Partners,Spanish,31
2026-02-08,Payments,English,65
2026-02-08,Payments,French,7
2026-02-08,Payments,German,9
2026-02-08,Payments,Italian,7
2026-02-08,Payments,Portuguese,2
2026-02-08,Payments,Spanish,11
2026-02-09,Hospitality,English,1885
2026-02-09,Hospitality,French,217
2026-02-09,Hospitality,German,252
2026-02-09,Hospitality,Italian,195
2026-02-09,Hospitality,Portuguese,48
2026-02-09,Hospitality,Spanish,333
2026-02-09,Partners,English,3278
2026-02-09,Partners,French,377
2026-02-09,Partners,German,438
2026-02-09,Partners,Italian,340
2026-02-09,Partners,Portuguese,83
2026-02-09,Partners,Spanish,578
2026-02-09,Payments,English,302
2026-02-09,Payments,French,35
2026-02-09,Payments,German,40
2026-02-09,Payments,Italian,31
2026-02-09,Payments,Portuguese,8
2026-02-09,Payments,Spanish,53
2026-02-10,Hospitality,English,1954
2026-02-10,Hospitality,French,225
2026-02-10,Hospitality,German,261
2026-02-10,Hospitality,Italian,202
2026-02-10,Hospitality,Portuguese,49
2026-02-10,Hospitality,Spanish,345
2026-02-10,Partners,English,3019
2026-02-10,Partners,French,348
2026-02-10,Partners,German,403
2026-02-10,Partners,Italian,313
2026-02-10,Partners,Portuguese,76
2026-02-10,Partners,Spanish,532
2026-02-10,Payments,English,317
2026-02-10,Payments,French,36
2026-02-10,Payments,German,42
2026-02-10,Payments,Italian,33
2026-02-10,Payments,Portuguese,8
2026-02-10,Payments,Spanish,56
2026-02-11,Hospitality,English,2012
2026-02-11,Hospitality,French,232
2026-02-11,Hospitality,German,269
2026-02-11,Hospitality,Italian,208
2026-02-11,Hospitality,Portuguese,51
2026-02-11,Hospitality,Spanish,355
2026-02-11,Partners,English,2850
2026-02-11,Partners,French,328
2026-02-11,Partners,German,381
2026-02-11,Partners,Italian,295
2026-02-11,Partners,Portuguese,72
2026-02-11,Partners,Spanish,503
2026-02-11,Payments,English,328
2026-02-11,Payments,French,38
2026-02-11,Payments,German,44
2026-02-11,Payments,Italian,34
2026-02-11,Payments,Portuguese,8
2026-02-11,Payments,Spanish,58
2026-02-12,Hospitality,English,1959
2026-02-12,Hospitality,French,226
2026-02-12,Hospitality,German,262
2026-02-12,Hospitality,Italian,203
2026-02-12,Hospitality,Portuguese,49
2026-02-12,Hospitality,Spanish,346
2026-02-12,Partners,English,2751
2026-02-12,Partners,French,317
2026-02-12,Partners,German,368
2026-02-12,Partners,Italian,285
2026-02-12,Partners,Portuguese,69
2026-02-12,Partners,Spanish,485
2026-02-12,Payments,English,314
2026-02-12,Payments,French,36
2026-02-12,Payments,German,42
2026-02-12,Payments,Italian,33
2026-02-12,Payments,Portuguese,8
2026-02-12,Payments,Spanish,55
2026-02-13,Hospitality,English,1712
2026-02-13,Hospitality,French,197
2026-02-13,Hospitality,German,229
2026-02-13,Hospitality,Italian,178
2026-02-13,Hospitality,Portuguese,43
2026-02-13,Hospitality,Spanish,302
2026-02-13,Partners,English,2537
2026-02-13,Partners,French,292
2026-02-13,Partners,German,339
2026-02-13,Partners,Italian,263
2026-02-13,Partners,Portuguese,64
2026-02-13,Partners,Spanish,447
2026-02-13,Payments,English,285
2026-02-13,Payments,French,33
2026-02-13,Payments,German,38
2026-02-13,Payments,Italian,30
2026-02-13,Payments,Portuguese,7
2026-02-13,Payments,Spanish,50
2026-02-14,Hospitality,English,459
2026-02-14,Hospitality,French,53
2026-02-14,Hospitality,German,61
2026-02-14,Hospitality,Italian,48
2026-02-14,Hospitality,Portuguese,12
2026-02-14,Hospitality,Spanish,81
2026-02-14,Partners,English,501
2026-02-14,Partners,French,58
2026-02-14,Partners,German,67
2026-02-14,Partners,Italian,52
2026-02-14,Partners,Portuguese,12
2026-02-14,Partners,Spanish,88
2026-02-14,Payments,English,93
2026-02-14,Payments,French,11
2026-02-14,Payments,German,12
2026-02-14,Payments,Italian,10
2026-02-14,Payments,Portuguese,2
2026-02-14,Payments,Spanish,16
2026-02-15,Hospitality,English,405
2026-02-15,Hospitality,French,47
2026-02-15,Hospitality,German,54
2026-02-15,Hospitality,Italian,42
2026-02-15,Hospitality,Portuguese,10
2026-02-15,Hospitality,Spanish,71
2026-02-15,Partners,English,153
2026-02-15,Partners,French,18
2026-02-15,Partners,German,20
2026-02-15,Partners,Italian,16
2026-02-15,Partners,Portuguese,4
2026-02-15,Partners,Spanish,27
2026-02-15,Payments,English,62
2026-02-15,Payments,French,7
2026-02-15,Payments,German,8
2026-02-15,Payments,Italian,6
2026-02-15,Payments,Portuguese,2
2026-02-15,Payments,Spanish,11
2026-02-16,Hospitality,English,1926
2026-02-16,Hospitality,French,222
2026-02-16,Hospitality,German,257
2026-02-16,Hospitality,Italian,200
2026-02-16,Hospitality,Portuguese,48
2026-02-16,Hospitality,Spanish,340
2026-02-16,Partners,English,2787
2026-02-16,Partners,French,321
2026-02-16,Partners,German,372
2026-02-16,Partners,Italian,289
2026-02-16,Partners,Portuguese,70
2026-02-16,Partners,Spanish,492
2026-02-16,Payments,English,290
2026-02-16,Payments,French,33
2026-02-16,Payments,German,39
2026-02-16,Payments,Italian,30
2026-02-16,Payments,Portuguese,7
2026-02-16,Payments,Spanish,51
2026-02-17,Hospitality,English,1978
2026-02-17,Hospitality,French,228
2026-02-17,Hospitality,German,264
2026-02-17,Hospitality,Italian,205
2026-02-17,Hospitality,Portuguese,50
2026-02-17,Hospitality,Spanish,349
2026-02-17,Partners,English,2547
2026-02-17,Partners,French,293
2026-02-17,Partners,German,341
2026-02-17,Partners,Italian,264
2026-02-17,Partners,Portuguese,64
2026-02-17,Partners,Spanish,449
2026-02-17,Payments,English,306
2026-02-17,Payments,French,35
2026-02-17,Payments,German,41
2026-02-17,Payments,Italian,32
2026-02-17,Payments,Portuguese,8
2026-02-17,Payments,Spanish,54
2026-02-18,Hospitality,English,2018
2026-02-18,Hospitality,French,232
2026-02-18,Hospitality,German,270
2026-02-18,Hospitality,Italian,209
2026-02-18,Hospitality,Portuguese,51
2026-02-18,Hospitality,Spanish,356
2026-02-18,Partners,English,2394
2026-02-18,Partners,French,276
2026-02-18,Partners,German,320
2026-02-18,Partners,Italian,248
2026-02-18,Partners,Portuguese,60
2026-02-18,Partners,Spanish,422
2026-02-18,Payments,English,322
2026-02-18,Payments,French,37
2026-02-18,Payments,German,43
2026-02-18,Payments,Italian,33
2026-02-18,Payments,Portuguese,8
2026-02-18,Payments,Spanish,57
2026-02-19,Hospitality,English,1946
2026-02-19,Hospitality,French,224
2026-02-19,Hospitality,German,260
2026-02-19,Hospitality,Italian,202
2026-02-19,Hospitality,Portuguese,49
2026-02-19,Hospitality,Spanish,343
2026-02-19,Partners,English,2308
2026-02-19,Partners,French,266
2026-02-19,Partners,German,308
2026-02-19,Partners,Italian,239
2026-02-19,Partners,Portuguese,58
2026-02-19,Partners,Spanish,407
2026-02-19,Payments,English,311
2026-02-19,Payments,French,36
2026-02-19,Payments,German,42
2026-02-19,Payments,Italian,32
2026-02-19,Payments,Portuguese,8
2026-02-19,Payments,Spanish,55
2026-02-20,Hospitality,English,1683
2026-02-20,Hospitality,French,194
2026-02-20,Hospitality,German,225
2026-02-20,Hospitality,Italian,175
2026-02-20,Hospitality,Portuguese,42
2026-02-20,Hospitality,Spanish,297
2026-02-20,Partners,English,2133
2026-02-20,Partners,French,246
2026-02-20,Partners,German,285
2026-02-20,Partners,Italian,221
2026-02-20,Partners,Portuguese,54
2026-02-20,Partners,Spanish,376
2026-02-20,Payments,English,286
2026-02-20,Payments,French,33
2026-02-20,Payments,German,38
2026-02-20,Payments,Italian,30
2026-02-20,Payments,Portuguese,7
2026-02-20,Payments,Spanish,50
2026-02-21,Hospitality,English,447
2026-02-21,Hospitality,French,52
2026-02-21,Hospitality,German,60
2026-02-21,Hospitality,Italian,46
2026-02-21,Hospitality,Portuguese,11
2026-02-21,Hospitality,Spanish,79
2026-02-21,Partners,English,423
2026-02-21,Partners,French,49
2026-02-21,Partners,German,56
2026-02-21,Partners,Italian,44
2026-02-21,Partners,Portuguese,11
2026-02-21,Partners,Spanish,75
2026-02-21,Payments,English,94
2026-02-21,Payments,French,11
2026-02-21,Payments,German,12
2026-02-21,Payments,Italian,10
2026-02-21,Payments,Portuguese,2
2026-02-21,Payments,Spanish,17
2026-02-22,Hospitality,English,391
2026-02-22,Hospitality,French,45
2026-02-22,Hospitality,German,52
2026-02-22,Hospitality,Italian,40
2026-02-22,Hospitality,Portuguese,10
2026-02-22,Hospitality,Spanish,69
2026-02-22,Partners,English,131
2026-02-22,Partners,French,15
2026-02-22,Partners,German,17
2026-02-22,Partners,Italian,14
2026-02-22,Partners,Portuguese,3
2026-02-22,Partners,Spanish,23
2026-02-22,Payments,English,63
2026-02-22,Payments,French,7
2026-02-22,Payments,German,8
2026-02-22,Payments,Italian,7
2026-02-22,Payments,Portuguese,2
2026-02-22,Payments,Spanish,11
2026-02-23,Hospitality,English,1844
2026-02-23,Hospitality,French,212
2026-02-23,Hospitality,German,246
2026-02-23,Hospitality,Italian,191
2026-02-23,Hospitality,Portuguese,47
2026-02-23,Hospitality,Spanish,325
2026-02-23,Partners,English,2410
2026-02-23,Partners,French,278
2026-02-23,Partners,German,322
2026-02-23,Partners,Italian,250
2026-02-23,Partners,Portuguese,61
2026-02-23,Partners,Spanish,425
2026-02-23,Payments,English,299
2026-02-23,Payments,French,34
2026-02-23,Payments,German,40
2026-02-23,Payments,Italian,31
2026-02-23,Payments,Portuguese,8
2026-02-23,Payments,Spanish,53
2026-02-24,Hospitality,English,1879
2026-02-24,Hospitality,French,216
2026-02-24,Hospitality,German,251
2026-02-24,Hospitality,Italian,195
2026-02-24,Hospitality,Portuguese,47
2026-02-24,Hospitality,Spanish,332
2026-02-24,Partners,English,2238
2026-02-24,Partners,French,258
2026-02-24,Partners,German,299
2026-02-24,Partners,Italian,232
2026-02-24,Partners,Portuguese,56
2026-02-24,Partners,Spanish,395
2026-02-24,Payments,English,320
2026-02-24,Payments,French,37
2026-02-24,Payments,German,43
2026-02-24,Payments,Italian,33
2026-02-24,Payments,Portuguese,8
2026-02-24,Payments,Spanish,56
2026-02-25,Hospitality,English,1905
2026-02-25,Hospitality,French,219
2026-02-25,Hospitality,German,255
2026-02-25,Hospitality,Italian,197
2026-02-25,Hospitality,Portuguese,48
2026-02-25,Hospitality,Spanish,336
2026-02-25,Partners,English,2143
2026-02-25,Partners,French,247
2026-02-25,Partners,German,286
2026-02-25,Partners,Italian,222
2026-02-25,Partners,Portuguese,54
2026-02-25,Partners,Spanish,378
2026-02-25,Payments,English,337
2026-02-25,Payments,French,39
2026-02-25,Payments,German,45
2026-02-25,Payments,Italian,35
2026-02-25,Payments,Portuguese,9
2026-02-25,Payments,Spanish,59
