Date,vertical,language,tickets,agents
2026-01-28,Partners,Italian,3,1
2026-01-28,Partners,Portuguese,1,1
2026-01-28,Partners,Spanish,5,1
2026-01-28,Payments,English,344,13
2026-01-28,Payments,French,39,2
2026-01-28,Payments,German,46,2
2026-01-28,Payments,Italian,36,2
2026-01-28,Payments,Portuguese,9,1
2026-01-28,Payments,Spanish,60,2
2026-01-29,Hospitality,English,230,9
2026-01-29,Hospitality,French,26,1
2026-01-29,Hospitality,German,31,1
2026-01-29,Hospitality,Italian,24,1
2026-01-29,Hospitality,Portuguese,6,1
2026-01-29,Hospitality,Spanish,41,2
2026-01-29,Partners,English,39,2
2026-01-29,Partners,French,4,1
2026-01-29,Partners,German,5,1
2026-01-29,Partners,Italian,4,1
2026-01-29,Partners,Portuguese,1,1
2026-01-29,Partners,Spanish,7,1
2026-01-29,Payments,English,334,13
2026-01-29,Payments,French,38,2
2026-01-29,Payments,German,45,2
2026-01-29,Payments,Italian,35,2
2026-01-29,Payments,Portuguese,8,1
2026-01-29,Payments,Spanish,59,2
2026-01-30,Hospitality,English,226,9
2026-01-30,Hospitality,French,26,1
2026-01-30,Hospitality,German,30,1
2026-01-30,Hospitality,Italian,23,1
2026-01-30,Hospitality,Portuguese,6,1
2026-01-30,Hospitality,Spanish,40,2
2026-01-30,Partners,English,51,2
2026-01-30,Partners,French,6,1
2026-01-30,Partners,German,7,1
2026-01-30,Partners,Italian,5,1
2026-01-30,Partners,Portuguese,1,1
2026-01-30,Partners,Spanish,9,1
2026-01-30,Payments,English,306,11
2026-01-30,Payments,French,35,2
2026-01-30,Payments,German,41,2
2026-01-30,Payments,Italian,32,1
2026-01-30,Payments,Portuguese,8,1
2026-01-30,Payments,Spanish,54,2
2026-01-31,Hospitality,English,61,2
2026-01-31,Hospitality,French,7,1
2026-01-31,Hospitality,German,8,1
2026-01-31,Hospitality,Italian,6,1
2026-01-31,Hospitality,Portuguese,2,1
2026-01-31,Hospitality,Spanish,11,1
2026-01-31,Partners,English,23,1
2026-01-31,Partners,French,3,1
2026-01-31,Partners,German,3,1
2026-01-31,Partners,Italian,2,1
2026-01-31,Partners,Portuguese,1,1
2026-01-31,Partners,Spanish,4,1
2026-01-31,Payments,English,118,5
2026-01-31,Payments,French,14,1
2026-01-31,Payments,German,16,1
2026-01-31,Payments,Italian,12,1
2026-01-31,Payments,Portuguese,3,1
2026-01-31,Payments,Spanish,21,1
2026-02-01,Hospitality,English,75,3
2026-02-01,Hospitality,French,9,1
2026-02-01,Hospitality,German,10,1
2026-02-01,Hospitality,Italian,8,1
2026-02-01,Hospitality,Portuguese,2,1
2026-02-01,Hospitality,Spanish,13,1
2026-02-01,Partners,English,8,1
2026-02-01,Partners,French,1,1
2026-02-01,Partners,German,1,1
2026-02-01,Partners,Italian,1,1
2026-02-01,Partners,Portuguese,0,0
2026-02-01,Partners,Spanish,2,1
2026-02-01,Payments,English,59,2
2026-02-01,Payments,French,7,1
2026-02-01,Payments,German,8,1
2026-02-01,Payments,Italian,6,1
2026-02-01,Payments,Portuguese,2,1
2026-02-01,Payments,Spanish,10,1
2026-02-02,Hospitality,English,265,10
2026-02-02,Hospitality,French,31,1
2026-02-02,Hospitality,German,35,2
2026-02-02,Hospitality,Italian,27,1
2026-02-02,Hospitality,Portuguese,7,1
2026-02-02,Hospitality,Spanish,47,2
2026-02-02,Partners,English,46,2
2026-02-02,Partners,French,5,1
2026-02-02,Partners,German,6,1
2026-02-02,Partners,Italian,5,1
2026-02-02,Partners,Portuguese,1,1
2026-02-02,Partners,Spanish,8,1
2026-02-02,Payments,English,313,11
2026-02-02,Payments,French,36,2
2026-02-02,Payments,German,42,2
2026-02-02,Payments,Italian,33,1
2026-02-02,Payments,Portuguese,8,1
2026-02-02,Payments,Spanish,55,2
2026-02-03,Hospitality,English,377,14
2026-02-03,Hospitality,French,43,2
2026-02-03,Hospitality,German,50,2
2026-02-03,Hospitality,Italian,39,2
2026-02-03,Hospitality,Portuguese,10,1
2026-02-03,Hospitality,Spanish,67,2
2026-02-03,Partners,English,44,2
2026-02-03,Partners,French,5,1
2026-02-03,Partners,German,6,1
2026-02-03,Partners,Italian,4,1
2026-02-03,Partners,Portuguese,1,1
2026-02-03,Partners,Spanish,8,1
2026-02-03,Payments,English,330,13
2026-02-03,Payments,French,38,2
2026-02-03,Payments,German,44,2
2026-02-03,Payments,Italian,34,1
2026-02-03,Payments,Portuguese,9,1
2026-02-03,Payments,Spanish,58,2
2026-02-04,Hospitality,English,207,7
2026-02-04,Hospitality,French,24,1
2026-02-04,Hospitality,German,28,1
2026-02-04,Hospitality,Italian,21,1
2026-02-04,Hospitality,Portuguese,5,1
2026-02-04,Hospitality,Spanish,36,2
2026-02-04,Partners,English,27,1
2026-02-04,Partners,French,3,1
2026-02-04,Partners,German,3,1
2026-02-04,Partners,Italian,3,1
2026-02-04,Partners,Portuguese,1,1
2026-02-04,Partners,Spanish,5,1
2026-02-04,Payments,English,343,13
2026-02-04,Payments,French,39,2
2026-02-04,Payments,German,46,2
2026-02-04,Payments,Italian,36,2
2026-02-04,Payments,Portuguese,9,1
2026-02-04,Payments,Spanish,60,2
2026-02-05,Hospitality,English,230,9
2026-02-05,Hospitality,French,26,1
2026-02-05,Hospitality,German,31,1
2026-02-05,Hospitality,Italian,24,1
2026-02-05,Hospitality,Portuguese,6,1
2026-02-05,Hospitality,Spanish,41,2
2026-02-05,Partners,English,39,2
2026-02-05,Partners,French,4,1
2026-02-05,Partners,German,5,1
2026-02-05,Partners,Italian,4,1
2026-02-05,Partners,Portuguese,1,1
2026-02-05,Partners,Spanish,7,1
2026-02-05,Payments,English,328,13
2026-02-05,Payments,French,38,2
2026-02-05,Payments,German,44,2
2026-02-05,Payments,Italian,34,1
2026-02-05,Payments,Portuguese,8,1
2026-02-05,Payments,Spanish,58,2
2026-02-06,Hospitality,English,226,9
2026-02-06,Hospitality,French,26,1
2026-02-06,Hospitality,German,30,1
2026-02-06,Hospitality,Italian,23,1
2026-02-06,Hospitality,Portuguese,6,1
2026-02-06,Hospitality,Spanish,40,2
2026-02-06,Partners,English,51,2
2026-02-06,Partners,French,6,1
2026-02-06,Partners,German,7,1
2026-02-06,Partners,Italian,5,1
2026-02-06,Partners,Portuguese,1,1
2026-02-06,Partners,Spanish,9,1
2026-02-06,Payments,English,297,11
2026-02-06,Payments,French,34,2
2026-02-06,Payments,German,40,2
2026-02-06,Payments,Italian,31,1
2026-02-06,Payments,Portuguese,7,1
2026-02-06,Payments,Spanish,52,2
2026-02-07,Hospitality,English,61,2
2026-02-07,Hospitality,French,7,1
2026-02-07,Hospitality,German,8,1
2026-02-07,Hospitality,Italian,6,1
2026-02-07,Hospitality,Portuguese,2,1
2026-02-07,Hospitality,Spanish,11,1
2026-02-07,Partners,English,23,1
2026-02-07,Partners,French,3,1
2026-02-07,Partners,German,3,1
2026-02-07,Partners,Italian,2,1
2026-02-07,Partners,Portuguese,1,1
2026-02-07,Partners,Spanish,4,1
2026-02-07,Payments,English,96,3
2026-02-07,Payments,French,11,1
2026-02-07,Payments,German,13,1
2026-02-07,Payments,Italian,10,1
2026-02-07,Payments,Portuguese,2,1
2026-02-07,Payments,Spanish,17,1
2026-02-08,Hospitality,English,75,3
2026-02-08,Hospitality,French,9,1
2026-02-08,Hospitality,German,10,1
2026-02-08,Hospitality,Italian,8,1
2026-02-08,Hospitality,Portuguese,2,1
2026-02-08,Hospitality,Spanish,13,1
2026-02-08,Partners,English,8,1
2026-02-08,Partners,French,1,1
2026-02-08,Partners,German,1,1
2026-02-08,Partners,Italian,1,1
2026-02-08,Partners,Portuguese,0,0
2026-02-08,Partners,Spanish,2,1
2026-02-08,Payments,English,64,2
2026-02-08,Payments,French,7,1
2026-02-08,Payments,German,8,1
2026-02-08,Payments,Italian,7,1
2026-02-08,Payments,Portuguese,2,1
2026-02-08,Payments,Spanish,11,1
2026-02-09,Hospitality,English,265,10
2026-02-09,Hospitality,French,31,1
2026-02-09,Hospitality,German,35,2
2026-02-09,Hospitality,Italian,27,1
2026-02-09,Hospitality,Portuguese,7,1
2026-02-09,Hospitality,Spanish,47,2
2026-02-09,Partners,English,46,2
2026-02-09,Partners,French,5,1
2026-02-09,Partners,German,6,1
2026-02-09,Partners,Italian,5,1
2026-02-09,Partners,Portuguese,1,1
2026-02-09,Partners,Spanish,8,1
2026-02-09,Payments,English,295,11
2026-02-09,Payments,French,34,2
2026-02-09,Payments,German,40,2
2026-02-09,Payments,Italian,31,1
2026-02-09,Payments,Portuguese,7,1
2026-02-09,Payments,Spanish,52,2
2026-02-10,Hospitality,English,377,14
2026-02-10,Hospitality,French,43,2
2026-02-10,Hospitality,German,50,2
2026-02-10,Hospitality,Italian,39,2
2026-02-10,Hospitality,Portuguese,10,1
2026-02-10,Hospitality,Spanish,67,2
2026-02-10,Partners,English,44,2
2026-02-10,Partners,French,5,1
2026-02-10,Partners,German,6,1
2026-02-10,Partners,Italian,4,1
2026-02-10,Partners,Portuguese,1,1
2026-02-10,Partners,Spanish,8,1
2026-02-10,Payments,English,309,11
2026-02-10,Payments,French,36,2
2026-02-10,Payments,German,41,2
2026-02-10,Payments,Italian,32,1
2026-02-10,Payments,Portuguese,8,1
2026-02-10,Payments,Spanish,55,2
2026-02-11,Hospitality,English,207,7
2026-02-11,Hospitality,French,24,1
2026-02-11,Hospitality,German,28,1
2026-02-11,Hospitality,Italian,21,1
2026-02-11,Hospitality,Portuguese,5,1
2026-02-11,Hospitality,Spanish,36,2
2026-02-11,Partners,English,27,1
2026-02-11,Partners,French,3,1
2026-02-11,Partners,German,3,1
2026-02-11,Partners,Italian,3,1
2026-02-11,Partners,Portuguese,1,1
2026-02-11,Partners,Spanish,5,1
2026-02-11,Payments,English,321,11
2026-02-11,Payments,French,37,2
2026-02-11,Payments,German,43,2
2026-02-11,Payments,Italian,33,1
2026-02-11,Payments,Portuguese,8,1
2026-02-11,Payments,Spanish,57,2
2026-02-12,Hospitality,English,230,9
2026-02-12,Hospitality,French,26,1
2026-02-12,Hospitality,German,31,1
2026-02-12,Hospitality,Italian,24,1
2026-02-12,Hospitality,Portuguese,6,1
2026-02-12,Hospitality,Spanish,41,2
2026-02-12,Partners,English,39,2
2026-02-12,Partners,French,4,1
2026-02-12,Partners,German,5,1
2026-02-12,Partners,Italian,4,1
2026-02-12,Partners,Portuguese,1,1
2026-02-12,Partners,Spanish,7,1
2026-02-12,Payments,English,308,11
2026-02-12,Payments,French,35,2
2026-02-12,Payments,German,41,2
2026-02-12,Payments,Italian,32,1
2026-02-12,Payments,Portuguese,8,1
2026-02-12,Payments,Spanish,54,2
2026-02-13,Hospitality,English,226,9
2026-02-13,Hospitality,French,26,1
2026-02-13,Hospitality,German,30,1
2026-02-13,Hospitality,Italian,23,1
2026-02-13,Hospitality,Portuguese,6,1
2026-02-13,Hospitality,Spanish,40,2
2026-02-13,Partners,English,51,2
2026-02-13,Partners,French,6,1
2026-02-13,Partners,German,7,1
2026-02-13,Partners,Italian,5,1
2026-02-13,Partners,Portuguese,1,1
2026-02-13,Partners,Spanish,9,1
2026-02-13,Payments,English,279,10
2026-02-13,Payments,French,32,1
2026-02-13,Payments,German,37,2
2026-02-13,Payments,Italian,29,1
2026-02-13,Payments,Portuguese,7,1
2026-02-13,Payments,Spanish,49,2
2026-02-14,Hospitality,English,61,2
2026-02-14,Hospitality,French,7,1
2026-02-14,Hospitality,German,8,1
2026-02-14,Hospitality,Italian,6,1
2026-02-14,Hospitality,Portuguese,2,1
2026-02-14,Hospitality,Spanish,11,1
2026-02-14,Partners,English,23,1
2026-02-14,Partners,French,3,1
2026-02-14,Partners,German,3,1
2026-02-14,Partners,Italian,2,1
2026-02-14,Partners,Portuguese,1,1
2026-02-14,Partners,Spanish,4,1
2026-02-14,Payments,English,91,3
2026-02-14,Payments,French,11,1
2026-02-14,Payments,German,12,1
2026-02-14,Payments,Italian,9,1
2026-02-14,Payments,Portuguese,2,1
2026-02-14,Payments,Spanish,16,1
2026-02-15,Hospitality,English,75,3
2026-02-15,Hospitality,French,9,1
2026-02-15,Hospitality,German,10,1
2026-02-15,Hospitality,Italian,8,1
2026-02-15,Hospitality,Portuguese,2,1
2026-02-15,Hospitality,Spanish,13,1
2026-02-15,Partners,English,8,1
2026-02-15,Partners,French,1,1
2026-02-15,Partners,German,1,1
2026-02-15,Partners,Italian,1,1
2026-02-15,Partners,Portuguese,0,0
2026-02-15,Partners,Spanish,2,1
2026-02-15,Payments,English,60,2
2026-02-15,Payments,French,7,1
2026-02-15,Payments,German,8,1
2026-02-15,Payments,Italian,6,1
2026-02-15,Payments,Portuguese,2,1
2026-02-15,Payments,Spanish,11,1
2026-02-16,Hospitality,English,265,10
2026-02-16,Hospitality,French,31,1
2026-02-16,Hospitality,German,35,2
2026-02-16,Hospitality,Italian,27,1
2026-02-16,Hospitality,Portuguese,7,1
2026-02-16,Hospitality,Spanish,47,2
2026-02-16,Partners,English,46,2
2026-02-16,Partners,French,5,1
2026-02-16,Partners,German,6,1
2026-02-16,Partners,Italian,5,1
2026-02-16,Partners,Portuguese,1,1
2026-02-16,Partners,Spanish,8,1
2026-02-16,Payments,English,283,10
2026-02-16,Payments,French,33,2
2026-02-16,Payments,German,38,2
2026-02-16,Payments,Italian,29,1
2026-02-16,Payments,Portuguese,7,1
2026-02-16,Payments,Spanish,50,2
2026-02-17,Hospitality,English,377,14
2026-02-17,Hospitality,French,43,2
2026-02-17,Hospitality,German,50,2
2026-02-17,Hospitality,Italian,39,2
2026-02-17,Hospitality,Portuguese,10,1
2026-02-17,Hospitality,Spanish,67,2
2026-02-17,Partners,English,44,2
2026-02-17,Partners,French,5,1
2026-02-17,Partners,German,6,1
2026-02-17,Partners,Italian,4,1
2026-02-17,Partners,Portuguese,1,1
2026-02-17,Partners,Spanish,8,1
2026-02-17,Payments,English,300,11
2026-02-17,Payments,French,34,2
2026-02-17,Payments,German,40,2
2026-02-17,Payments,Italian,31,1
2026-02-17,Payments,Portuguese,8,1
2026-02-17,Payments,Spanish,53,2
2026-02-18,Hospitality,English,207,7
2026-02-18,Hospitality,French,24,1
2026-02-18,Hospitality,German,28,1
2026-02-18,Hospitality,Italian,21,1
2026-02-18,Hospitality,Portuguese,5,1
2026-02-18,Hospitality,Spanish,36,2
2026-02-18,Partners,English,27,1
2026-02-18,Partners,French,3,1
2026-02-18,Partners,German,3,1
2026-02-18,Partners,Italian,3,1
2026-02-18,Partners,Portuguese,1,1
2026-02-18,Partners,Spanish,5,1
2026-02-18,Payments,English,315,11
2026-02-18,Payments,French,36,2
2026-02-18,Payments,German,42,2
2026-02-18,Payments,Italian,33,1
2026-02-18,Payments,Portuguese,8,1
2026-02-18,Payments,Spanish,55,2
2026-02-19,Hospitality,English,230,9
2026-02-19,Hospitality,French,26,1
2026-02-19,Hospitality,German,31,1
2026-02-19,Hospitality,Italian,24,1
2026-02-19,Hospitality,Portuguese,6,1
2026-02-19,Hospitality,Spanish,41,2
2026-02-19,Partners,English,39,2
2026-02-19,Partners,French,4,1
2026-02-19,Partners,German,5,1
2026-02-19,Partners,Italian,4,1
2026-02-19,Partners,Portuguese,1,1
2026-02-19,Partners,Spanish,7,1
2026-02-19,Payments,English,305,11
2026-02-19,Payments,French,35,2
2026-02-19,Payments,German,41,2
2026-02-19,Payments,Italian,31,1
2026-02-19,Payments,Portuguese,8,1
2026-02-19,Payments,Spanish,54,2
2026-02-20,Hospitality,English,226,9
2026-02-20,Hospitality,French,26,1
2026-02-20,Hospitality,German,30,1
2026-02-20,Hospitality,Italian,23,1
2026-02-20,Hospitality,Portuguese,6,1
2026-02-20,Hospitality,Spanish,40,2
2026-02-20,Partners,English,51,2
2026-02-20,Partners,French,6,1
2026-02-20,Partners,German,7,1
2026-02-20,Partners,Italian,5,1
2026-02-20,Partners,Portuguese,1,1
2026-02-20,Partners,Spanish,9,1
2026-02-20,Payments,English,279,10
2026-02-20,Payments,French,32,1
2026-02-20,Payments,German,38,2
2026-02-20,Payments,Italian,29,1
2026-02-20,Payments,Portuguese,7,1
2026-02-20,Payments,Spanish,49,2
2026-02-21,Hospitality,English,61,2
2026-02-21,Hospitality,French,7,1
2026-02-21,Hospitality,German,8,1
2026-02-21,Hospitality,Italian,6,1
2026-02-21,Hospitality,Portuguese,2,1
2026-02-21,Hospitality,Spanish,11,1
2026-02-21,Partners,English,23,1
2026-02-21,Partners,French,3,1
